Period: 618.7247922885579 log Prob: -113.68715639601695 Param: [4.9307489035990904e-6, 224.7007753096215, 2.433503768787757e6, 0.01739568514916518, -0.00393115551077091, 3.0551065112984213e-6, 365.2562693878968, 2.4336244094356466e6, 0.029707207524221492, -0.0035610012677158376, 4.060062332248051e-8, 618.7247922885579, 2.437252491273807e6, -1.2167529537444461, -0.6839997367737872, 0.0014880470922035817, 5084.803663431761, 2.4396095221715528e6, 0.052403088397888584, -0.009169066312764177]
Period: 626.2952559481723 log Prob: -110.34609364505454 Param: [5.604727486795533e-6, 224.70077152983694, 2.4335037688706494e6, 0.03520098275242856, -0.015631992184145835, 3.163653133399176e-6, 365.2563480215169, 2.43362440860426e6, 0.041812983611588334, -0.010487521393762023, 3.6775875011133393e-7, 626.2952559481723, 2.437396486008223e6, -0.18473946025596313, 0.018052741505088954, 0.0009285732534479776, 5311.373975080738, 2.4398066388559625e6, 0.0016373071238861567, 0.0006738944947679986]
Period: 633.9583487067597 log Prob: -117.5777231316994 Param: [4.942835244392532e-6, 224.7007728981016, 2.4335037688272283e6, 0.00781415284178875, -0.01843215998369159, 2.9577849392239305e-6, 365.2563169281076, 2.4336244089583987e6, 0.02427762337530549, -0.013596293488864012, 5.56974877248086e-7, 633.9583487067597, 2.4370316287621944e6, 0.06486332190219644, -0.02776682436853801, 0.0015711899266740066, 5437.911728742358, 2.4400773664797237e6, 0.025068175382426595, 0.0046133566483683355]
Period: 641.7152039361131 log Prob: -113.47720297909919 Param: [4.537288660901288e-6, 224.70076908866685, 2.4335037689099144e6, -0.01947013369978077, -0.022709019640131802, 2.7970964626295674e-6, 365.2563157987359, 2.433624408916367e6, 0.0019695482676438457, -0.017178176860756136, 1.143175926788628e-6, 641.7152039361131, 2.4370458986689392e6, 0.028335712885586294, 0.015791108209132265, 0.0021779424581725546, 5688.51889697265, 2.4408362418930503e6, 0.05966091044095659, 0.03627892870613202]
Period: 649.5669688754994 log Prob: -113.97629682144122 Param: [5.318627584259516e-6, 224.7007757592559, 2.43350376878307e6, 0.01745449714944092, -0.004330436147145177, 3.017655666989554e-6, 365.25632751565706, 2.433624408781676e6, 0.03157424753682938, -0.002466844139831288, 9.165471970293375e-8, 649.5669688754994, 2.4372541718461737e6, -0.10643956375742429, -0.7198427202510447, 0.0014292308204087324, 5289.447103441965, 2.4397067320673317e6, 0.021588347976093675, -0.020707089703899857]
Period: 657.5148048013383 log Prob: -114.3507228634441 Param: [4.9615659053205354e-6, 224.70079091818937, 2.43350376851332e6, 0.010624885508212882, -0.007466484581550428, 2.9745591984257834e-6, 365.2563163011071, 2.4336244089378975e6, 0.025956432398403388, -0.005772906559262456, 1.150255095368839e-8, 657.5148048013383, 2.437420798495596e6, -6.379276677558537, -0.07296269476172676, 0.001781262379747722, 5257.390054741866, 2.4397329768388e6, 0.03531976963688222, -0.013264136261379289]
Period: 665.5598871989506 log Prob: -112.788208906871 Param: [4.42799221075423e-6, 224.7008157853494, 2.43350376832678e6, 0.006569399042335651, 0.0011784395532510544, 2.9654183325784066e-6, 365.25628511486053, 2.4336244092593323e6, 0.021630897183698847, 0.0012724708018623917, 3.203994962143036e-8, 665.5598871989506, 2.4374224274532762e6, -3.579262098021379, 0.018850396532181568, 0.0020640936139498336, 5469.152764443556, 2.4397680956106302e6, 0.0339113540546899, -0.012344190898622391]
Period: 673.7034059364174 log Prob: -109.83603439869691 Param: [3.982915000735695e-6, 224.7008519649676, 2.43350378670569e6, 0.003924290453379989, 0.023411470847044043, 2.921633809678169e-6, 365.2563248256787, 2.4336244086389523e6, 0.01939378177673924, 0.018620413931513192, 3.7270375698564583e-7, 673.7034059364174, 2.4375901431686985e6, 0.20367365617737096, 0.5427777130387843, 0.003156877555187666, 6835.230702143433, 2.439944045150402e6, 0.05269963751108433, 0.0010714298382765296]
Period: 681.9465654405575 log Prob: -117.35172772550872 Param: [5.549240419716075e-6, 224.70076060981089, 2.433503769345543e6, 0.01793864013890201, -0.023182309495933015, 3.0131528823698626e-6, 365.2563260258324, 2.4336244088209188e6, 0.03267964536864681, -0.018174411781776048, 8.185638056620037e-7, 681.9465654405575, 2.4371040020740763e6, -0.04538218401088954, 0.04704911735964741, 0.0011760720172164596, 5391.910125194833, 2.440050899842392e6, 0.025991882863486047, 0.03623878977602111]
Period: 690.2905848750638 log Prob: -118.04479089815352 Param: [5.440577894345843e-6, 224.70077067603543, 2.4335037688760585e6, 0.023152638407042268, -0.006334256303302982, 3.0557854611572548e-6, 365.2563220684207, 2.433624408910293e6, 0.03714137494166232, -0.004991559021421418, 1.0122228332785188e-6, 690.2905848750638, 2.4371130377812586e6, -0.0021321384583539932, 0.008516931271907599, 0.001211888457883099, 5221.171636117186, 2.4396774731293353e6, 0.02391202301313612, -0.0020748305914370384]
Period: 698.73669832082 log Prob: -118.28441311287257 Param: [5.2997077377753975e-6, 224.7007738288064, 2.4335037688122652e6, 0.02352768765966027, -0.009129562872184733, 3.039388463047376e-6, 365.2563128123547, 2.433624409035194e6, 0.037220824336784385, -0.007151166152926714, 1.1318817062993904e-6, 698.73669832082, 2.437107916112791e6, 0.01604958155962398, -0.01191538278011045, 0.0012787654908782817, 5259.563579716058, 2.4397102823945503e6, 0.020797473777407247, -0.007866032006809588]
Period: 707.2861549584161 log Prob: -118.25970323173544 Param: [5.153200807700629e-6, 224.70077444937832, 2.4335037688038033e6, 0.018231636596780607, -0.007653033866671995, 3.0565080544173205e-6, 365.256348383523, 2.4336244086039076e6, 0.03241327959147554, -0.005904434243592355, 2.571262197724207e-6, 707.2861549584161, 2.437263147785152e6, 0.024447036073475665, -0.01599286770714653, 0.0013573336626927968, 5296.214209774029, 2.4397186323425854e6, 0.02365287616585372, -0.01117012730182716]
Period: 715.9402192529084 log Prob: -118.112507024725 Param: [5.280071924317012e-6, 224.70077679526074, 2.4335037687614933e6, 0.01783595927052308, -0.004718148949957204, 3.022872124985919e-6, 365.25630671442644, 2.4336244086731863e6, 0.03260349327730136, -0.0037484216044932303, 2.2026496556691485e-6, 715.9402192529084, 2.43722264875406e6, 0.049278459602280035, -0.008469858696553057, 0.0014057176336004407, 5268.958756877818, 2.4396920464981794e6, 0.02920333469831705, -0.009725579712227332]
Period: 724.7001711408275 log Prob: -117.9505066210505 Param: [5.106110526880039e-6, 224.70077712057568, 2.433503768749376e6, 0.008692831267618446, -0.00017016384267211175, 2.969641856951805e-6, 365.25666430055844, 2.433624403173179e6, 0.02554172144799406, -8.436604148331686e-5, 2.510819965356411e-6, 724.7001711408275, 2.4372275274507767e6, 0.05659755283815092, 0.004174436298943903, 0.0015151319670630187, 5176.636228306905, 2.4395940665140054e6, 0.03191081953711649, -0.015142331478582292]
Period: 733.5673062194874 log Prob: -117.07591861736006 Param: [5.476418603594347e-6, 224.70077404361072, 2.433503768817581e6, 0.0226754782836377, -0.01186182068403598, 3.0472523129734935e-6, 365.261643253638, 2.4336243413607487e6, 0.03678721612321949, -0.009548554511473021, 2.506937214865866e-6, 733.5673062194874, 2.437156960277799e6, 0.11462858812639737, -0.05785327137954531, 0.001304557804576813, 5242.725617012172, 2.439684087358747e6, 0.011910119497686928, -0.015341159645539679]
Period: 742.5429359385989 log Prob: -117.60838403026086 Param: [5.274611723503689e-6, 224.7007740730492, 2.4335037688008416e6, 0.018051757200253718, -0.008427567248731832, 3.0217912364967272e-6, 365.25706202658074, 2.433624399778111e6, 0.03280588706414404, -0.006655961142700261, 1.6731713990124328e-6, 742.5429359385989, 2.437165171090429e6, 0.11360891786193018, -0.05244434824603866, 0.0013431765419138835, 5233.613478503619, 2.4396804812743207e6, 0.017806069315299537, -0.012003424033585283]
Period: 751.6283877942357 log Prob: -118.25166585290694 Param: [5.249157345082766e-6, 224.70077390707817, 2.433503768814137e6, 0.018092664537215145, -0.007423557483131296, 3.0190212146597733e-6, 365.2564653478806, 2.433624407170491e6, 0.03286896083489175, -0.005849079325566061, 1.237159822436697e-6, 751.6283877942357, 2.437155762482305e6, 0.13582628039743513, -0.03584661081250104, 0.0013600547019493895, 5253.588001554738, 2.4397280307260975e6, 0.02381591290118615, 0.0012720177471699083]
Period: 760.8250055251727 log Prob: -118.57845153438612 Param: [5.052664253385647e-6, 224.7007754214416, 2.4335037687979448e6, 0.015713127188677505, -0.004068835574117382, 3.023734407344171e-6, 365.25639917614797, 2.433624408200611e6, 0.030815508912213668, -0.0029690386262790627, 1.0281178931006546e-6, 760.8250055251727, 2.4369698585778503e6, 0.13446531611829188, 0.0017185610474917958, 0.0013410035449778702, 5209.867863396201, 2.439665073886987e6, 0.024272593240938976, -0.0007992998234255218]
Period: 770.1341493116206 log Prob: -116.864370637955 Param: [5.1092911397132065e-6, 224.7007776160261, 2.4335037687686854e6, 0.012941566483912377, 2.708914870951026e-5, 3.008648316262576e-6, 365.2563691124231, 2.4336244085207568e6, 0.028897181792111763, 0.00047596352860495894, 1.390361369371941e-6, 770.1341493116206, 2.4369751352712405e6, 0.13629659384912385, -0.001752842922566766, 0.0012812990477681224, 5107.006042668272, 2.4395527510854388e6, 0.02623657219167328, -0.0005158577670915111]
Period: 779.5571959764018 log Prob: -115.72570048927739 Param: [5.231398020642199e-6, 224.7007763156906, 2.4335037688011783e6, 0.008678169988511964, 0.0047813371017743815, 2.9749397692033216e-6, 365.2563378934699, 2.4336244087866237e6, 0.02579040142621536, 0.004027591467343515, 1.856760479675428e-6, 779.5571959764018, 2.436960431316597e6, 0.13069675224373137, -0.008570675225371277, 0.0014886144627999486, 5168.022591551092, 2.439509752127086e6, 0.028918776309751402, 0.002513875783187805]
Period: 789.0955391885781 log Prob: -116.2854752874352 Param: [5.9374927749358034e-6, 224.7007721557478, 2.433503768852999e6, 0.01676858055683958, 0.006874458904183864, 2.9944889209479153e-6, 365.2563173067696, 2.43362440893166e6, 0.03269952999261457, 0.0052686026840472674, 1.5547094257144328e-6, 789.0955391885781, 2.437204486890035e6, 0.23685612306116238, 0.04126649277076475, 0.001283389280932759, 5598.440620883848, 2.4397823310541403e6, 0.021406432044104466, -0.003077082840079396]
Period: 798.750589669576 log Prob: -116.31639384244029 Param: [4.947880030098044e-6, 224.7007722536635, 2.433503768832648e6, 0.02421564436145499, 0.021949944023623654, 3.0532472023145857e-6, 365.25634140936165, 2.4336244086807296e6, 0.03696756303745723, 0.01733417099203827, 2.2099495801530416e-6, 798.750589669576, 2.4374007000967436e6, 0.19124334537771187, 0.025822927292279453, 0.0011347513368644261, 5620.141691993993, 2.4396244622792187e6, 0.02234314748642568, -0.023447877013775747]
Period: 808.5237754018352 log Prob: -114.9567434278441 Param: [4.4734541407753194e-6, 224.7007756946497, 2.4335037687666244e6, 0.01117308462195271, 0.003977197520630306, 3.0179151371568228e-6, 365.2563480410282, 2.4336244086490613e6, 0.026544316823294157, 0.004116574195068908, 1.5612624722990132e-6, 808.5237754018352, 2.437637394456922e6, 0.22485341023793576, 0.025153902324122766, 0.0013509315947380343, 5142.30390378191, 2.4395265932154567e6, 0.03400298963549085, -0.0254911590905557]
Period: 818.4165418400019 log Prob: -116.3002302442341 Param: [4.928202796855391e-6, 224.70077441292167, 2.4335037687891643e6, 0.013570080913833013, -0.007111728408814082, 3.019615671308963e-6, 365.2563390945699, 2.4336244087329875e6, 0.0286156888309222, -0.005290324122216904, 1.0747434604617104e-6, 818.4165418400019, 2.437621218666209e6, 0.24541167185042334, -0.011332578013425932, 0.0014335988423413361, 5187.476304010288, 2.439637265512702e6, 0.030170898362604927, -0.018884541112999163]
Period: 828.4303521247172 log Prob: -115.66660257955007 Param: [5.202717619679572e-6, 224.70077426460972, 2.433503768789844e6, 0.01666745110853648, -0.008907569471780232, 3.036749078754162e-6, 365.2563404808304, 2.433624408714201e6, 0.030577587617354355, -0.006349766157201716, 1.2168049679634083e-6, 828.4303521247172, 2.4376084719650233e6, 0.2650625568890459, 0.008812018966013637, 0.0013299918503883472, 5183.198326401667, 2.439629237842549e6, 0.023597086904809782, -0.020773580025380694]
Period: 838.5666872990112 log Prob: -117.7858066719069 Param: [5.266759629291773e-6, 224.70077582065372, 2.4335037687608493e6, 0.017442602325701117, -0.004030579553948074, 3.041327351114998e-6, 365.2563425616717, 2.433624408682115e6, 0.031650152706609216, -0.002307061798701703, 1.1300740706164648e-6, 838.5666872990112, 2.4376032955481657e6, 0.20382958055095649, 0.0993503729180401, 0.0010813186592349912, 5153.659725286026, 2.439530222536447e6, 0.005407275037736064, -0.033719578410693375]
Period: 848.8270465273507 log Prob: -115.10633070325639 Param: [4.625415165232829e-6, 224.70077152231474, 2.433503768880023e6, -0.013473379949482712, -0.025399011033245458, 2.8310345542657497e-6, 365.2563278428107, 2.433624408791038e6, 0.006596781259987225, -0.01959129960731329, 3.5288123270999807e-6, 848.8270465273507, 2.4371627902912577e6, 0.01142255559613816, -0.04280350371150975, 0.0018933431587028714, 5468.999698010454, 2.4406158382016616e6, 0.05375763981797163, 0.03396725661323528]
Period: 859.2129473173691 log Prob: -115.29218416073168 Param: [4.302636342736975e-6, 224.7007691877676, 2.433503768918274e6, -0.03178299745145344, -0.03266258963774831, 2.709002830441147e-6, 365.2563479454267, 2.4336244086225373e6, -0.010129608019941267, -0.025107281480539582, 3.521949868472288e-6, 859.2129473173691, 2.4371655301846364e6, 0.019959906203347564, -0.06084196732523388, 0.0016859036708537871, 5304.466466346472, 2.4406498391345683e6, 0.056360989982953844, 0.04132242494724928]
Period: 869.725925744299 log Prob: -109.49112255599226 Param: [5.3118899102383305e-6, 224.70080043662625, 2.4335037684052037e6, 0.01499315005402199, -0.021182947393044597, 2.848971951866696e-6, 365.256402272952, 2.43362440808421e6, 0.02509168854716477, -0.013685924333592633, 3.6414559468469304e-7, 869.725925744299, 2.438155876329729e6, 0.5207333040919698, 1.8329017143311581, 0.0035417564830835945, 7479.128275229016, 2.4412492141732504e6, 0.07725710318361154, -0.0025634929696355916]
Period: 880.3675366781656 log Prob: -106.29092716001324 Param: [5.00418605626227e-6, 224.70077494621952, 2.4335037687936607e6, 0.009775789738158666, -0.014118452823194462, 2.8644377453820695e-6, 365.2563400336016, 2.433624408704028e6, 0.02089403946025024, -0.007011501561580979, 2.240896227027323e-6, 880.3675366781656, 2.43741059032273e6, 0.37685622984330686, -0.10241108134897811, 0.0014763846562804823, 5046.7899469548465, 2.4397952670983844e6, 0.032857192963477236, -0.0045140424905404115]
Period: 891.1393540137445 log Prob: -112.56785281969226 Param: [4.741866311656782e-6, 224.70077629841396, 2.4335037687713704e6, 0.0030149498283052333, -0.010763998706826124, 2.903701742837802e-6, 365.2563368414231, 2.433624408751503e6, 0.017973250604220448, -0.005622683302423904, 1.0829891921920745e-6, 891.1393540137445, 2.4374366434928114e6, 0.5678583153719042, 0.04813009655123697, 0.001886377975575011, 5018.661115816983, 2.4397202195059243e6, 0.050534214810027574, -0.007001245736818586]
Period: 902.0429709033479 log Prob: -114.9167897673371 Param: [5.173829215385807e-6, 224.70077442803495, 2.433503768795481e6, 0.0045390611423181655, -0.007198246769709237, 2.9277654171992695e-6, 365.2563225737605, 2.433624408915838e6, 0.021687489686087805, -0.0038146666758655584, 3.8247392249848155e-6, 902.0429709033479, 2.437152877109687e6, 0.1148843619975788, -0.040515385127861306, 0.0019977453948163506, 5307.749167980003, 2.4397706658749483e6, 0.04758665693846677, -0.011409035011284529]
Period: 913.079999992446 log Prob: -116.60869245289865 Param: [5.385069207997493e-6, 224.70077330568301, 2.433503768803893e6, 0.007523885655068367, -0.0038332363101344713, 2.8861676061442828e-6, 365.2563234665552, 2.433624408858112e6, 0.024863166303739265, -0.0029258106836071514, 5.95700276894983e-6, 913.079999992446, 2.4371890394975822e6, -0.02421690748255524, 0.14496592930151156, 0.0019438530808818313, 5346.92293333475, 2.4396979973643376e6, 0.04758663392575146, -0.016766044914953215]
Period: 924.2520736581796 log Prob: -116.18887736826979 Param: [5.239610854762759e-6, 224.70077434431806, 2.433503768786603e6, 0.004831569690339329, -0.006673386308055493, 2.936420118375557e-6, 365.25632002772943, 2.433624408907254e6, 0.02227901864299596, -0.00419861024427981, 3.1339615438025226e-6, 924.2520736581796, 2.437045045187153e6, 0.12014236312248, -0.01064119187398952, 0.0020221496560541906, 5364.826876077557, 2.439778853161316e6, 0.04803384486527905, -0.012802563489681826]
Period: 935.560844250792 log Prob: -115.73503018975389 Param: [5.254374501374147e-6, 224.70077388210692, 2.433503768798735e6, 0.0040664623520095065, -0.009202674481150787, 2.9339486421017867e-6, 365.2563176631141, 2.4336244089456205e6, 0.02107655540674616, -0.006256847957333932, 3.3158174551746755e-6, 935.560844250792, 2.437062284172214e6, 0.10380841396148038, -0.016309070297999828, 0.0019158747185549813, 5386.378137004025, 2.439846637755536e6, 0.04260489347208532, -0.010066755530832637]
Period: 947.0079843380049 log Prob: -114.80462774563253 Param: [5.3898835062135065e-6, 224.70077430961553, 2.433503768801012e6, 0.0008769848378861519, -0.011893643640408775, 2.9028208977539214e-6, 365.2563193847133, 2.4336244089376433e6, 0.017468295778438205, -0.007992537430004007, 5.016422883806333e-6, 947.0079843380049, 2.437058124009678e6, 0.07670563664693414, -0.009632645118554698, 0.0018255967782639928, 5273.443630461629, 2.4398980211469303e6, 0.039915570427529565, -0.0027799650924423404]
Period: 958.5951869523985 log Prob: -110.32653892271578 Param: [4.850210210912917e-6, 224.70077367165385, 2.433503768837254e6, 0.005184135350361584, -0.014958767101790386, 3.007900087191704e-6, 365.2563359621611, 2.433624408708062e6, 0.020144914048304232, -0.010510725435510534, 1.4204670192709547e-6, 958.5951869523985, 2.437257872204388e6, -0.03667543577764013, -0.5773380569037325, 0.0018216082897100777, 5183.196328312104, 2.440168938235746e6, 0.04917555158984551, 0.018938780887249155]
Period: 970.3241658418052 log Prob: -110.54495943754104 Param: [6.853262960486749e-6, 224.70077224112003, 2.433503768834369e6, 0.020686288932105105, -0.00801620291370053, 2.8930804674013444e-6, 365.2563443072886, 2.433624408671188e6, 0.027991277881167266, -0.004547659781743679, 1.1746120092842659e-5, 970.3241658418052, 2.437061748859395e6, 0.017166773677907095, -0.0006412510008534115, 0.0013203529893997896, 5044.44685970911, 2.4396070136981327e6, 0.024874924286609073, -0.017355992532264032]
Period: 982.196655722775 log Prob: -112.6421487031332 Param: [4.992850218329894e-6, 224.7007744375915, 2.4335037687993343e6, 0.03201580350177967, -0.015461980732362409, 3.192634415828883e-6, 365.25636644730105, 2.433624408452405e6, 0.0375839047422606, -0.010263207567036187, 6.377380270902192e-6, 982.196655722775, 2.437531865067728e6, 0.03478452608269677, -0.026682308484298308, 0.0007474620980080659, 5008.603477983377, 2.439551861472321e6, -0.031357973701604494, -0.0322343597650843]
Period: 994.2144125371437 log Prob: -115.17794137408202 Param: [4.987367363237262e-6, 224.70077671312637, 2.4335037687638425e6, 0.028449947525630816, -0.015664133724695405, 3.1773629681318388e-6, 365.25639925202705, 2.4336244081295836e6, 0.03625124797956393, -0.010929104854654877, 5.225336638383706e-6, 994.2144125371437, 2.4375217476856e6, 0.016745986735479272, -0.05854649306130029, 0.0006690382302468328, 4915.3333163440975, 2.4394967465838767e6, -0.01623179017948707, -0.033129414078423916]
Period: 1006.3792137117297 log Prob: -118.00814093591445 Param: [5.000318462382608e-6, 224.70077104643576, 2.433503768857045e6, 0.023777426436126518, -0.015100967110057536, 3.1070831453927086e-6, 365.2563421086398, 2.433624408677025e6, 0.034195890766503825, -0.011506922033508296, 3.909618717576763e-6, 1006.3792137117297, 2.4375514482535506e6, 0.04524293914846734, -0.03904379296114404, 0.0010947002184616367, 5354.728757347632, 2.439811591577364e6, 0.0005001613449299363, -0.005961726180218793]
Period: 1018.6928584212234 log Prob: -118.34058680687264 Param: [5.031907907262455e-6, 224.70077192554731, 2.4335037688583783e6, 0.01875701868419429, -0.009557131983935206, 3.0603524370907847e-6, 365.25633092492393, 2.4336244087656317e6, 0.031810367787455066, -0.007607613814071695, 2.8902161817232124e-6, 1018.6928584212234, 2.437562332502064e6, 0.06241870831789329, -0.07809277488826712, 0.0012757153853995226, 5335.3056402895145, 2.439803241359421e6, 0.00863219148335433, 0.007675071220225096]
Period: 1031.1571678542773 log Prob: -118.06490504657808 Param: [5.035632625850793e-6, 224.70077465594696, 2.4335037688155994e6, 0.01455755647836742, 0.00428140548082433, 3.0220895855650147e-6, 365.25632364410336, 2.4336244088773895e6, 0.03045751361616057, 0.003132253134520677, 2.1254932706244773e-6, 1031.1571678542773, 2.437798444921907e6, 0.007412425902545009, 0.10609643603332473, 0.0014340082355049875, 5202.4763014622995, 2.4396211716977167e6, 0.02865380068296213, 0.0014250035757829218]
Period: 1043.773985482868 log Prob: -117.9040039348365 Param: [5.026245459296805e-6, 224.7007745863657, 2.4335037687987355e6, 0.014581616681780245, 0.0050998654372497515, 3.023044618217798e-6, 365.2563118341822, 2.433624409036553e6, 0.030383157635595168, 0.004094557875116847, 2.834533169349348e-6, 1043.773985482868, 2.4377537063854104e6, 0.00437780293439472, 0.0413188650476827, 0.001436597435532213, 5198.376313260441, 2.4395762187922453e6, 0.03106650872706309, -0.012470893939350473]
